ID_Cliente,Evasion,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Servicio_Telefono,Multiples_Lineas,Tipo_Internet,Seguridad_Online,Backup_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Tipo_Contrato,Factura_Digital,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Iipo_Internet,Cuentas_Diarias
0017-Iudmw,No,Femenino,0,Sí,Sí,72,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Tarjeta De Crédito (Automático),116.8,8456.75,Fiber Optic,3.89
0018-Nyrou,No,Femenino,0,Sí,No,5,Sí,No,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Cheque Electronico,68.95,351.5,Fiber Optic,2.3
0019-Efaep,No,Femenino,0,No,No,72,Sí,Sí,Fibra Optica,Sí,Sí,Sí,No,Sí,No,Bienal,Yes,Transferencia Bancaria (Automática),101.3,7261.25,Fiber Optic,3.38
0019-Gfntw,No,Femenino,0,No,No,56,No,Sin Servicio De Teléfono,Dsl,Sí,Sí,Sí,Sí,No,No,Bienal,No,Transferencia Bancaria (Automática),45.05,2560.1,Dsl,1.5
0020-Inwck,No,Femenino,0,Sí,Sí,71,Sí,Sí,Fibra Optica,No,Sí,Sí,No,No,Sí,Bienal,Yes,Tarjeta De Crédito (Automático),95.75,6849.4,Fiber Optic,3.19
0020-Jdnxp,No,Femenino,0,Sí,Sí,34,No,Sin Servicio De Teléfono,Dsl,Sí,No,Sí,Sí,Sí,Sí,Anual,No,Cheque Enviado,61.25,1993.2,Dsl,2.04
0021-Ikxgc,No,Femenino,1,No,No,1,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Cheque Electronico,72.1,72.1,Fiber Optic,2.4
0022-Tcjci,Sí,Masculino,1,No,No,45,Sí,No,Dsl,Sí,No,Sí,No,No,Sí,Anual,No,Tarjeta De Crédito (Automático),62.7,2791.5,Dsl,2.09
0023-Hghwl,Sí,Masculino,1,No,No,1,No,Sin Servicio De Teléfono,Dsl,No,No,No,No,No,No,Mensual,Yes,Cheque Electronico,25.1,25.1,Dsl,0.84
0023-Uyupn,No,Femenino,1,Sí,No,50,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,No,Cheque Electronico,25.2,1306.3,No,0.84
0023-Xuopt,Sí,Femenino,0,Sí,No,13,Sí,Sí,Fibra Optica,No,Sí,Sí,No,Sí,No,Mensual,No,Cheque Electronico,94.1,1215.6,Fiber Optic,3.14
0027-Kwykw,No,Femenino,0,Sí,Sí,23,Sí,Sí,Fibra Optica,No,No,No,No,Sí,No,Mensual,Yes,Cheque Electronico,83.75,1849.95,Fiber Optic,2.79
0030-Fnxpp,No,Femenino,0,No,No,3,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,19.85,57.2,No,0.66
0031-Pvlzi,Sí,Femenino,0,Sí,Sí,4,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,20.35,76.35,No,0.68
0032-Pgels,Sí,Femenino,0,Sí,Sí,1,No,Sin Servicio De Teléfono,Dsl,Sí,No,No,No,No,No,Mensual,No,Transferencia Bancaria (Automática),30.5,30.5,Dsl,1.02
0036-Ihmot,No,Femenino,0,Sí,Sí,55,Sí,No,Fibra Optica,No,Sí,Sí,Sí,Sí,Sí,Anual,Yes,Transferencia Bancaria (Automática),103.7,5656.75,Fiber Optic,3.46
0040-Halcw,No,Masculino,0,Sí,Sí,54,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Tarjeta De Crédito (Automático),20.4,1090.6,No,0.68
0042-Jvwoj,No,Masculino,0,No,No,26,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,Yes,Transferencia Bancaria (Automática),19.6,471.85,No,0.65
0042-Rlhyp,No,Femenino,0,Sí,Sí,69,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Transferencia Bancaria (Automática),19.7,1396.9,No,0.66
0048-Lumls,No,Masculino,0,Sí,Sí,37,Sí,No,Fibra Optica,No,No,No,No,Sí,Sí,Anual,No,Tarjeta De Crédito (Automático),91.2,3247.55,Fiber Optic,3.04
0048-Pihnl,No,Femenino,0,Sí,No,49,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,No,Transferencia Bancaria (Automática),20.45,900.9,No,0.68
0052-Dckon,No,Masculino,0,Sí,No,66,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Anual,No,Transferencia Bancaria (Automática),115.8,7942.15,Fiber Optic,3.86
0052-Ynyot,No,Femenino,0,No,No,67,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,No,Cheque Electronico,20.55,1343.4,No,0.68
0056-Epfbg,No,Masculino,0,Sí,Sí,20,No,Sin Servicio De Teléfono,Dsl,Sí,No,Sí,Sí,No,No,Bienal,Yes,Tarjeta De Crédito (Automático),39.4,825.4,Dsl,1.31
0057-Qbuqh,No,Femenino,0,No,Sí,43,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,Yes,Cheque Electronico,25.1,1070.15,No,0.84
0058-Evzwm,No,Femenino,0,Sí,No,55,Sí,Sí,Fibra Optica,Sí,No,No,No,Sí,No,Mensual,Yes,Transferencia Bancaria (Automática),89.8,4959.6,Fiber Optic,2.99
0060-Fualy,No,Femenino,0,Sí,No,59,Sí,Sí,Fibra Optica,Sí,Sí,No,No,Sí,No,Mensual,Yes,Cheque Electronico,94.75,5597.65,Fiber Optic,3.16
0064-Sudog,No,Femenino,0,Sí,Sí,12,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Transferencia Bancaria (Automática),20.3,224.5,No,0.68
0064-Yijgf,No,Masculino,0,Sí,Sí,27,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),75.75,1929.0,Fiber Optic,2.52
0067-Dkwbl,Sí,Masculino,1,No,No,2,Sí,No,Dsl,Sí,No,No,No,No,No,Mensual,Yes,Cheque Electronico,49.25,91.1,Dsl,1.64
0068-Figtf,No,Femenino,0,No,No,27,Sí,No,Dsl,No,Sí,Sí,Sí,Sí,Sí,Anual,No,Cheque Enviado,78.2,2078.95,Dsl,2.61
0071-Ndafp,No,Masculino,0,Sí,Sí,25,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Tarjeta De Crédito (Automático),25.5,630.6,No,0.85
0074-Hdkdg,No,Masculino,0,Sí,Sí,25,Sí,No,Dsl,Sí,Sí,Sí,No,No,No,Anual,Yes,Transferencia Bancaria (Automática),61.6,1611.0,Dsl,2.05
0076-Lveps,No,Masculino,0,No,Sí,29,No,Sin Servicio De Teléfono,Dsl,Sí,Sí,Sí,Sí,No,No,Mensual,Yes,Cheque Enviado,45.0,1242.45,Dsl,1.5
0078-Xzmht,No,Masculino,0,Sí,No,72,Sí,Sí,Dsl,No,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Transferencia Bancaria (Automática),85.15,6316.2,Dsl,2.84
0080-Emyvy,No,Femenino,0,No,No,14,Sí,No,Dsl,No,Sí,No,No,No,No,Anual,No,Tarjeta De Crédito (Automático),51.45,727.85,Dsl,1.72
0080-Orozo,No,Femenino,0,No,No,35,Sí,No,Fibra Optica,No,No,Sí,Sí,Sí,Sí,Anual,Yes,Cheque Electronico,99.25,3532.0,Fiber Optic,3.31
0082-Ldzue,No,Masculino,0,No,No,1,Sí,No,Dsl,No,No,No,No,No,No,Mensual,Yes,Cheque Enviado,44.3,44.3,Dsl,1.48
0082-Oqiqy,No,Masculino,0,No,No,29,Sí,No,Fibra Optica,No,No,No,Sí,Sí,Sí,Mensual,Yes,Cheque Electronico,94.2,2607.6,Fiber Optic,3.14
0083-Pivik,No,Masculino,0,No,No,64,Sí,Sí,Dsl,Sí,Sí,Sí,Sí,Sí,No,Anual,No,Cheque Electronico,81.25,5567.55,Dsl,2.71
0089-Iiqko,No,Femenino,0,Sí,Sí,39,Sí,Sí,Fibra Optica,No,No,No,Sí,Sí,Sí,Mensual,Yes,Tarjeta De Crédito (Automático),99.95,3767.4,Fiber Optic,3.33
0093-Exyql,No,Femenino,1,No,No,40,Sí,No,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,91.55,3673.6,Fiber Optic,3.05
0093-Xwzfy,Sí,Masculino,0,No,No,40,Sí,Sí,Fibra Optica,No,Sí,Sí,No,Sí,Sí,Mensual,Yes,Tarjeta De Crédito (Automático),104.5,4036.85,Fiber Optic,3.48
0094-Oifmo,Sí,Femenino,1,No,No,11,Sí,No,Fibra Optica,No,Sí,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,95.0,1120.3,Fiber Optic,3.17
0096-Bxers,No,Femenino,0,Sí,No,6,Sí,Sí,Dsl,No,No,No,No,No,No,Mensual,No,Cheque Electronico,50.35,314.55,Dsl,1.68
0096-Fcpuf,No,Masculino,0,No,No,30,Sí,Sí,Dsl,Sí,No,No,No,No,Sí,Mensual,Yes,Cheque Enviado,64.5,1888.45,Dsl,2.15
0098-Bowso,No,Masculino,0,No,No,27,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,Yes,Cheque Electronico,19.4,529.8,No,0.65
0100-Duvfc,No,Masculino,1,Sí,No,70,Sí,Sí,Fibra Optica,No,Sí,Sí,No,Sí,Sí,Anual,Yes,Cheque Electronico,104.8,7308.95,Fiber Optic,3.49
0103-Csitq,No,Femenino,0,Sí,No,57,Sí,Sí,Fibra Optica,No,Sí,Sí,Sí,Sí,Sí,Anual,Yes,Transferencia Bancaria (Automática),109.4,6252.7,Fiber Optic,3.65
0104-Ppxdv,No,Masculino,0,Sí,No,58,Sí,No,Dsl,No,No,Sí,No,No,No,Anual,No,Tarjeta De Crédito (Automático),50.3,2878.55,Dsl,1.68
0106-Ghrqr,No,Masculino,0,No,No,16,Sí,Sí,Dsl,No,Sí,Sí,No,No,Sí,Mensual,Yes,Transferencia Bancaria (Automática),71.4,1212.1,Dsl,2.38
0106-Ugrdo,No,Femenino,0,Sí,No,69,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Cheque Electronico,116.0,8182.85,Fiber Optic,3.87
0107-Weslm,Sí,Masculino,0,No,No,1,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,Yes,Cheque Electronico,19.85,19.85,No,0.66
0107-Yhina,Sí,Masculino,0,No,Sí,1,Sí,Sí,Fibra Optica,No,No,Sí,No,Sí,Sí,Mensual,Yes,Cheque Electronico,99.75,99.75,Fiber Optic,3.32
0111-Klbqg,No,Masculino,1,Sí,Sí,32,Sí,No,Fibra Optica,No,Sí,No,No,Sí,Sí,Mensual,Yes,Cheque Enviado,93.95,2861.45,Fiber Optic,3.13
0112-Qawrz,No,Masculino,0,Sí,Sí,16,Sí,Sí,Fibra Optica,No,No,Sí,No,Sí,No,Mensual,Yes,Transferencia Bancaria (Automática),90.8,1442.2,Fiber Optic,3.03
0112-Qwpnc,Sí,Masculino,0,Sí,No,49,Sí,Sí,Dsl,Sí,No,Sí,Sí,Sí,Sí,Anual,No,Cheque Electronico,84.35,4059.35,Dsl,2.81
0114-Igabw,No,Femenino,0,Sí,No,71,No,Sin Servicio De Teléfono,Dsl,No,Sí,Sí,Sí,Sí,Sí,Bienal,No,Transferencia Bancaria (Automática),58.25,4145.9,Dsl,1.94
0114-Pegzz,No,Femenino,0,No,No,33,Sí,Sí,Fibra Optica,No,Sí,Sí,No,Sí,Sí,Mensual,No,Cheque Electronico,107.55,3645.5,Fiber Optic,3.58
0114-Rsrrw,No,Femenino,0,Sí,No,10,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,Yes,Transferencia Bancaria (Automática),19.95,187.75,No,0.66
0115-Tfert,Sí,Masculino,0,Sí,No,21,Sí,Sí,Fibra Optica,No,Sí,Sí,Sí,Sí,Sí,Mensual,Yes,Cheque Electronico,111.2,2317.1,Fiber Optic,3.71
0117-Lfrmw,Sí,Masculino,0,Sí,Sí,37,No,Sin Servicio De Teléfono,Dsl,Sí,Sí,Sí,No,No,No,Mensual,No,Transferencia Bancaria (Automática),40.2,1448.8,Dsl,1.34
0118-Jpnoy,No,Femenino,1,No,No,26,Sí,No,Fibra Optica,Sí,No,No,No,Sí,No,Mensual,Yes,Tarjeta De Crédito (Automático),85.8,2193.65,Fiber Optic,2.86
0121-Snyrk,No,Masculino,0,No,No,50,No,Sin Servicio De Teléfono,Dsl,Sí,No,No,Sí,No,No,Anual,Yes,Cheque Enviado,35.4,1748.9,Dsl,1.18
0122-Oahpz,Sí,Femenino,0,No,No,7,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Cheque Electronico,73.85,511.25,Fiber Optic,2.46
0123-Crbrt,No,Femenino,0,Sí,Sí,61,Sí,Sí,Dsl,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,No,Cheque Enviado,88.1,5526.75,Dsl,2.94
0125-Lzqxk,Sí,Masculino,0,No,No,15,Sí,No,Fibra Optica,No,No,Sí,Sí,Sí,Sí,Mensual,Yes,Cheque Electronico,101.35,1553.95,Fiber Optic,3.38
0128-Mkwsg,No,Femenino,0,No,Sí,26,No,Sin Servicio De Teléfono,Dsl,Sí,No,No,Sí,No,Sí,Mensual,No,Cheque Enviado,45.8,1147.0,Dsl,1.53
0129-Kptwj,No,Masculino,0,Sí,No,72,Sí,No,Fibra Optica,No,No,Sí,No,Sí,Sí,Mensual,Yes,Cheque Electronico,94.65,6747.35,Fiber Optic,3.16
0129-Qmpdr,No,Masculino,0,Sí,Sí,44,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,Yes,Transferencia Bancaria (Automática),20.5,865.05,No,0.68
0130-Sxoun,No,Masculino,0,No,No,66,Sí,Sí,Fibra Optica,No,Sí,No,No,No,Sí,Mensual,No,Tarjeta De Crédito (Automático),89.4,5976.9,Fiber Optic,2.98
0133-Bmfzo,Sí,Femenino,0,No,No,2,Sí,No,Fibra Optica,Sí,Sí,No,Sí,No,No,Mensual,Yes,Cheque Electronico,86.25,181.65,Fiber Optic,2.88
0134-Xwxce,No,Femenino,1,No,No,44,Sí,No,Dsl,No,No,Sí,Sí,Sí,Sí,Anual,No,Transferencia Bancaria (Automática),74.85,3268.05,Dsl,2.49
0135-Nmxap,Sí,Femenino,0,No,No,12,Sí,Sí,Fibra Optica,No,Sí,No,No,Sí,No,Mensual,Yes,Transferencia Bancaria (Automática),89.75,1052.4,Fiber Optic,2.99
0136-Ifmyd,No,Masculino,1,Sí,No,69,Sí,Sí,Fibra Optica,No,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Cheque Electronico,109.95,7634.25,Fiber Optic,3.66
0137-Ocgab,Sí,Femenino,0,No,No,1,Sí,Sí,Fibra Optica,No,Sí,No,No,No,No,Mensual,Yes,Cheque Enviado,80.2,80.2,Fiber Optic,2.67
0137-Udeuo,Sí,Femenino,0,No,No,3,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,19.85,63.75,No,0.66
0139-Ivfjg,No,Femenino,0,Sí,No,2,Sí,No,Fibra Optica,Sí,Sí,No,No,Sí,No,Mensual,No,Cheque Electronico,90.35,190.5,Fiber Optic,3.01
0141-Yeays,No,Femenino,1,No,No,27,Sí,Sí,Fibra Optica,No,Sí,Sí,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),86.45,2401.05,Fiber Optic,2.88
0142-Gvysn,No,Masculino,0,No,No,26,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,Yes,Cheque Electronico,20.3,511.25,No,0.68
0147-Eswwr,No,Femenino,1,Sí,No,39,Sí,Sí,Fibra Optica,No,No,No,Sí,Sí,Sí,Mensual,Yes,Cheque Electronico,101.25,3949.15,Fiber Optic,3.38
0148-Dcdos,Sí,Masculino,0,No,No,25,Sí,Sí,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Transferencia Bancaria (Automática),94.7,2362.1,Fiber Optic,3.16
0151-Ontov,Sí,Femenino,0,No,No,1,Sí,No,Fibra Optica,No,No,No,No,No,No,Mensual,No,Cheque Enviado,70.9,70.9,Fiber Optic,2.36
0156-Fvpta,Sí,Masculino,0,Sí,No,22,Sí,No,Dsl,Sí,No,No,Sí,No,No,Mensual,Yes,Cheque Electronico,54.2,1152.7,Dsl,1.81
0164-Apgrb,No,Femenino,0,No,No,72,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Cheque Electronico,114.9,8496.7,Fiber Optic,3.83
0164-Xairp,No,Femenino,0,No,No,24,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,Yes,Transferencia Bancaria (Automática),19.55,470.2,No,0.65
0168-Xzkbb,No,Femenino,0,Sí,No,19,Sí,Sí,Fibra Optica,No,No,No,No,Sí,No,Mensual,Yes,Cheque Electronico,86.85,1564.4,Fiber Optic,2.9
0174-Qrvvy,No,Masculino,0,Sí,Sí,71,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Tarjeta De Crédito (Automático),25.35,1847.55,No,0.85
0177-Pxbat,No,Masculino,1,Sí,No,33,Sí,Sí,Fibra Optica,Sí,No,Sí,Sí,Sí,Sí,Mensual,Yes,Transferencia Bancaria (Automática),109.9,3694.7,Fiber Optic,3.66
0178-Ciikr,No,Femenino,0,No,No,3,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,19.95,58.0,No,0.66
0178-Szbho,No,Masculino,0,Sí,Sí,47,Sí,Sí,Fibra Optica,No,Sí,No,No,Sí,No,Mensual,No,Cheque Electronico,87.2,4017.45,Fiber Optic,2.91
0181-Ritdd,No,Masculino,0,Sí,Sí,62,Sí,No,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,No,Cheque Enviado,108.15,6825.65,Fiber Optic,3.6
0186-Caerr,No,Masculino,0,No,No,71,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Anual,Yes,Transferencia Bancaria (Automática),116.3,8309.55,Fiber Optic,3.88
0187-Qsxoe,No,Masculino,1,Sí,No,7,Sí,No,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,89.0,605.45,Fiber Optic,2.97
0187-Wznab,No,Femenino,0,Sí,Sí,27,Sí,No,Fibra Optica,Sí,No,No,No,No,No,Mensual,No,Cheque Enviado,74.4,1972.35,Fiber Optic,2.48
0188-Gwfle,No,Masculino,0,No,No,2,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,20.05,33.7,No,0.67
0191-Equuh,No,Femenino,0,No,Sí,25,No,Sin Servicio De Teléfono,Dsl,Sí,No,No,Sí,No,No,Bienal,No,Transferencia Bancaria (Automática),35.05,844.45,Dsl,1.17
0191-Zhskz,No,Masculino,1,No,No,30,Sí,No,Dsl,Sí,Sí,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,74.75,2111.3,Dsl,2.49
0193-Eszxp,Sí,Femenino,1,Sí,No,58,Sí,No,Fibra Optica,Sí,Sí,No,Sí,Sí,Sí,Anual,Yes,Tarjeta De Crédito (Automático),105.5,6205.5,Fiber Optic,3.52
0195-Iescp,Sí,Masculino,0,Sí,No,10,Sí,Sí,Fibra Optica,No,No,No,No,No,Sí,Mensual,Yes,Cheque Electronico,85.25,855.3,Fiber Optic,2.84
0196-Jtuqi,No,Femenino,0,No,No,9,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Tarjeta De Crédito (Automático),75.2,633.85,Fiber Optic,2.51
0196-Vulgz,Sí,Femenino,1,Sí,No,6,Sí,Sí,Fibra Optica,No,No,No,No,No,Sí,Mensual,Yes,Cheque Electronico,84.35,474.9,Fiber Optic,2.81
0197-Pnknk,No,Femenino,0,Sí,Sí,69,Sí,Sí,Fibra Optica,Sí,No,Sí,No,No,No,Anual,No,Transferencia Bancaria (Automática),84.45,5848.6,Fiber Optic,2.82
0201-Mibol,No,Femenino,1,No,No,66,Sí,Sí,Fibra Optica,Sí,No,No,No,Sí,Sí,Bienal,Yes,Transferencia Bancaria (Automática),102.4,6471.85,Fiber Optic,3.41
0201-Oamxr,Sí,Femenino,0,No,No,70,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Anual,No,Tarjeta De Crédito (Automático),115.55,8127.6,Fiber Optic,3.85
0203-Hhyij,Sí,Masculino,0,No,No,25,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,No,Transferencia Bancaria (Automática),25.3,676.35,No,0.84
0206-Oyvoc,No,Femenino,0,Sí,Sí,46,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,Yes,Cheque Enviado,19.25,864.2,No,0.64
0206-Tbwlc,No,Femenino,0,Sí,No,54,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Anual,Yes,Cheque Enviado,114.65,6049.5,Fiber Optic,3.82
0207-Mdknv,Sí,Femenino,0,No,No,15,Sí,No,Fibra Optica,Sí,No,Sí,Sí,Sí,Sí,Mensual,No,Cheque Electronico,105.1,1582.75,Fiber Optic,3.5
0208-Bpqej,No,Femenino,0,Sí,Sí,12,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Transferencia Bancaria (Automática),19.4,198.1,No,0.65
0212-Isbbf,No,Femenino,0,No,No,22,No,Sin Servicio De Teléfono,Dsl,No,Sí,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,50.35,1098.85,Dsl,1.68
0214-Jhpfw,No,Femenino,0,Sí,No,70,No,Sin Servicio De Teléfono,Dsl,No,Sí,Sí,Sí,Sí,Sí,Bienal,No,Transferencia Bancaria (Automática),57.8,4039.3,Dsl,1.93
0215-Bqkgs,No,Masculino,0,No,No,30,Sí,No,Fibra Optica,Sí,Sí,Sí,No,No,No,Mensual,Yes,Tarjeta De Crédito (Automático),84.3,2438.6,Fiber Optic,2.81
0218-Qnvas,No,Masculino,0,Sí,Sí,71,Sí,Sí,Fibra Optica,No,Sí,No,No,Sí,Sí,Anual,No,Transferencia Bancaria (Automática),100.55,7113.75,Fiber Optic,3.35
